-----------------------------------
Time profiling for the matrix inverse function:
Forward elimination: 0.44s (64.71%)
Backward elimination: 0.24s (35.29%)
Inverse function total: 0.68s (1)
-----------------------------------
Total time for the direct method: 15.38s
Result x is: Matrix [1000][1]:
	[ ,0]	
[218, ]	0.0007548 	
[219, ]	-5.964e-05 	
[220, ]	0.001265 	
[221, ]	0.0007376 	
[222, ]	0.001158 	
[223, ]	0.001376 	
[224, ]	0.00144 	
[225, ]	0.0004169 	
[226, ]	0.0003438 	
[227, ]	-9.703e-06 	
[228, ]	0.001358 	
[229, ]	-0.0003397 	
[230, ]	0.0001508 	
[231, ]	0.0007431 	
[232, ]	-0.0002048 	
[233, ]	0.001469 	
[234, ]	6.959e-05 	
[235, ]	0.001488 	
[236, ]	0.001294 	
[237, ]	0.0002535 	
[238, ]	0.0008397 	
[239, ]	-0.0003842 	
[240, ]	0.001215 	
[241, ]	0.001432 	
[242, ]	0.0007281 	
[243, ]	0.001514 	
[244, ]	-0.0002688 	
[245, ]	8.54e-05 	
[246, ]	-0.0001832 	
[247, ]	0.00056 	
[248, ]	0.0008639 	
[249, ]	-1.16e-05 	
[250, ]	-0.0003554 	
[251, ]	-2.666e-05 	
[252, ]	0.0008594 	
[253, ]	0.0001504 	
[254, ]	2.046e-05 	
[255, ]	0.001446 	
[256, ]	-0.0001178 	
[257, ]	0.0009196 	
[258, ]	0.001415 	
[259, ]	0.0004123 	
[260, ]	0.0007112 	
[261, ]	0.0004125 	
[262, ]	0.0007358 	
[263, ]	0.001141 	
[264, ]	0.0003416 	
[265, ]	0.000971 	
[266, ]	0.0001503 	
[267, ]	0.0008089 	
[268, ]	-0.0003181 	
[269, ]	0.0004396 	
[270, ]	0.001337 	
[271, ]	6.67e-06 	
[272, ]	3.933e-05 	
[273, ]	0.001183 	
[274, ]	0.0008698 	
[275, ]	0.0005684 	
[276, ]	-0.0002508 	
[277, ]	0.0003163 	
[278, ]	0.000181 	
[279, ]	0.0009778 	
[280, ]	0.001288 	
[281, ]	-0.0004544 	
[282, ]	-0.0002285 	
[283, ]	0.0006346 	
[284, ]	0.0009155 	
[285, ]	-0.0004303 	
[286, ]	0.0004867 	
[287, ]	0.001144 	
[288, ]	0.0009399 	
[289, ]	-0.0003594 	
[290, ]	-1.325e-05 	
[291, ]	6.45e-05 	
[292, ]	0.0001169 	
[293, ]	-0.0003168 	
[294, ]	0.0004079 	
[295, ]	-0.0003058 	
[296, ]	0.000167 	
[297, ]	4.016e-06 	
[298, ]	0.0001304 	
[299, ]	0.0001399 	
[300, ]	-0.000366 	
[301, ]	5.754e-05 	
[302, ]	0.001249 	
[303, ]	0.001193 	
[304, ]	0.0001772 	
[305, ]	-0.0005052 	
[306, ]	-0.0004571 	
[307, ]	0.000417 	
[308, ]	0.001153 	
[309, ]	-0.0003902 	
[310, ]	0.0008951 	
[311, ]	0.000963 	
[312, ]	0.0002906 	
[313, ]	0.001277 	
[314, ]	0.0006144 	
[315, ]	0.001133 	
[316, ]	0.001137 	
[317, ]	0.001041 	
[318, ]	-0.0004293 	
[319, ]	-0.0001447 	
[320, ]	0.001348 	
[321, ]	-0.0001138 	
[322, ]	-0.0002348 	
[323, ]	0.001192 	
[324, ]	0.001412 	
[325, ]	0.0001639 	
[326, ]	0.001382 	
[327, ]	0.0002335 	
[328, ]	0.001184 	
[329, ]	1.238e-05 	
[330, ]	0.000261 	
[331, ]	-0.0003428 	
[332, ]	0.001286 	
[333, ]	0.0008216 	
[334, ]	0.0001747 	
[335, ]	0.0003508 	
[336, ]	0.0009112 	
[337, ]	0.001198 	
[338, ]	0.001438 	
[339, ]	0.001124 	
[340, ]	-8.601e-05 	
[341, ]	0.0006047 	
[342, ]	0.001096 	
[343, ]	0.001325 	
[344, ]	0.0004746 	
[345, ]	0.0003678 	
[346, ]	-0.0004061 	
[347, ]	0.001296 	
[348, ]	0.001257 	
[349, ]	-0.0004807 	
[350, ]	-3.706e-06 	
[351, ]	0.0007426 	
[352, ]	0.00147 	
[353, ]	0.0002234 	
[354, ]	-0.0004187 	
[355, ]	0.0003315 	
[356, ]	0.000655 	
[357, ]	0.0008641 	
[358, ]	-0.0001112 	
[359, ]	0.001176 	
[360, ]	-0.0001645 	
[361, ]	-0.0001684 	
[362, ]	9.535e-05 	
[363, ]	0.001256 	
[364, ]	0.001269 	
[365, ]	0.001513 	
[366, ]	0.0005099 	
[367, ]	-0.0002159 	
[368, ]	-0.0002982 	
[369, ]	7.136e-05 	
[370, ]	-0.0002645 	
[371, ]	-0.0002504 	
[372, ]	0.001458 	
[373, ]	0.0006825 	
[374, ]	0.0004479 	
[375, ]	5.71e-05 	
[376, ]	-0.0004668 	
[377, ]	0.0004645 	
[378, ]	0.000412 	
[379, ]	-1.765e-05 	
[380, ]	0.0009593 	
[381, ]	-1.313e-05 	
[382, ]	0.001252 	
[383, ]	0.00117 	
[384, ]	-0.0002535 	
[385, ]	0.0004758 	
[386, ]	0.001324 	
[387, ]	0.0003087 	
[388, ]	0.0001946 	
[389, ]	1.58e-05 	
[390, ]	-0.0001025 	
[391, ]	0.001226 	
[392, ]	0.0001379 	
[393, ]	0.0002232 	
[394, ]	0.001263 	
[395, ]	0.0004295 	
[396, ]	-0.0002714 	
[397, ]	0.0006944 	
[398, ]	0.0002906 	
[399, ]	-0.0002044 	
[400, ]	0.001205 	
[401, ]	-0.0003589 	
[402, ]	-0.0002296 	
[403, ]	-0.0002635 	
[404, ]	0.0003909 	
[405, ]	0.0004864 	
[406, ]	-0.0002047 	
[407, ]	0.001242 	
[408, ]	-0.000491 	
[409, ]	0.001287 	
[410, ]	0.0003371 	
[411, ]	-0.000111 	
[412, ]	0.000818 	
[413, ]	0.001431 	
[414, ]	0.0003003 	
[415, ]	0.0005039 	
[416, ]	0.001095 	
[417, ]	0.001377 	
[418, ]	0.00123 	
[419, ]	-0.0001602 	
[420, ]	0.0006505 	
[421, ]	0.001226 	
