-----------------------------------
Time profiling for the matrix inverse function:
Forward elimination: 0.45s (65.22%)
Backward elimination: 0.24s (34.78%)
Inverse function total: 0.69s (1)
-----------------------------------
Total time for the iterative method: 4.63s
Result from Jacobi x is 
Matrix [1000][1]:
	[ ,0]	
[191, ]	-1.491e+08 	
[192, ]	-1.487e+08 	
[193, ]	-1.487e+08 	
[194, ]	-1.485e+08 	
[195, ]	-1.489e+08 	
[196, ]	-1.485e+08 	
[197, ]	-1.488e+08 	
[198, ]	-1.488e+08 	
[199, ]	-1.487e+08 	
[200, ]	-1.489e+08 	
[201, ]	-1.49e+08 	
[202, ]	-1.489e+08 	
[203, ]	-1.488e+08 	
[204, ]	-1.487e+08 	
[205, ]	-1.491e+08 	
[206, ]	-1.486e+08 	
[207, ]	-1.489e+08 	
[208, ]	-1.487e+08 	
[209, ]	-1.488e+08 	
[210, ]	-1.486e+08 	
[211, ]	-1.488e+08 	
[212, ]	-1.49e+08 	
[213, ]	-1.487e+08 	
[214, ]	-1.487e+08 	
[215, ]	-1.49e+08 	
[216, ]	-1.488e+08 	
[217, ]	-1.49e+08 	
[218, ]	-1.489e+08 	
[219, ]	-1.487e+08 	
[220, ]	-1.49e+08 	
[221, ]	-1.486e+08 	
[222, ]	-1.491e+08 	
[223, ]	-1.485e+08 	
[224, ]	-1.489e+08 	
[225, ]	-1.49e+08 	
[226, ]	-1.489e+08 	
[227, ]	-1.486e+08 	
[228, ]	-1.485e+08 	
[229, ]	-1.487e+08 	
[230, ]	-1.489e+08 	
[231, ]	-1.485e+08 	
[232, ]	-1.487e+08 	
[233, ]	-1.487e+08 	
[234, ]	-1.486e+08 	
[235, ]	-1.486e+08 	
[236, ]	-1.486e+08 	
[237, ]	-1.489e+08 	
[238, ]	-1.49e+08 	
[239, ]	-1.49e+08 	
[240, ]	-1.487e+08 	
[241, ]	-1.486e+08 	
[242, ]	-1.488e+08 	
[243, ]	-1.485e+08 	
[244, ]	-1.489e+08 	
[245, ]	-1.488e+08 	
[246, ]	-1.485e+08 	
[247, ]	-1.487e+08 	
[248, ]	-1.489e+08 	
[249, ]	-1.487e+08 	
[250, ]	-1.487e+08 	
[251, ]	-1.489e+08 	
[252, ]	-1.491e+08 	
[253, ]	-1.488e+08 	
[254, ]	-1.489e+08 	
[255, ]	-1.487e+08 	
[256, ]	-1.486e+08 	
[257, ]	-1.485e+08 	
[258, ]	-1.489e+08 	
[259, ]	-1.489e+08 	
[260, ]	-1.487e+08 	
[261, ]	-1.488e+08 	
[262, ]	-1.491e+08 	
[263, ]	-1.488e+08 	
[264, ]	-1.485e+08 	
[265, ]	-1.488e+08 	
[266, ]	-1.485e+08 	
[267, ]	-1.49e+08 	
[268, ]	-1.486e+08 	
[269, ]	-1.488e+08 	
[270, ]	-1.49e+08 	
[271, ]	-1.487e+08 	
[272, ]	-1.486e+08 	
[273, ]	-1.485e+08 	
[274, ]	-1.485e+08 	
[275, ]	-1.489e+08 	
[276, ]	-1.486e+08 	
[277, ]	-1.486e+08 	
[278, ]	-1.489e+08 	
[279, ]	-1.486e+08 	
[280, ]	-1.49e+08 	
[281, ]	-1.487e+08 	
[282, ]	-1.487e+08 	
[283, ]	-1.486e+08 	
[284, ]	-1.488e+08 	
[285, ]	-1.487e+08 	
[286, ]	-1.485e+08 	
[287, ]	-1.49e+08 	
[288, ]	-1.491e+08 	
[289, ]	-1.491e+08 	
[290, ]	-1.486e+08 	
[291, ]	-1.487e+08 	
[292, ]	-1.489e+08 	
[293, ]	-1.485e+08 	
[294, ]	-1.485e+08 	
[295, ]	-1.487e+08 	
[296, ]	-1.489e+08 	
[297, ]	-1.49e+08 	
[298, ]	-1.487e+08 	
[299, ]	-1.488e+08 	
[300, ]	-1.489e+08 	
[301, ]	-1.485e+08 	
[302, ]	-1.486e+08 	
[303, ]	-1.486e+08 	
[304, ]	-1.489e+08 	
[305, ]	-1.488e+08 	
[306, ]	-1.49e+08 	
[307, ]	-1.49e+08 	
[308, ]	-1.485e+08 	
[309, ]	-1.485e+08 	
[310, ]	-1.486e+08 	
[311, ]	-1.485e+08 	
[312, ]	-1.486e+08 	
[313, ]	-1.488e+08 	
[314, ]	-1.486e+08 	
[315, ]	-1.489e+08 	
[316, ]	-1.488e+08 	
[317, ]	-1.485e+08 	
[318, ]	-1.489e+08 	
[319, ]	-1.491e+08 	
[320, ]	-1.487e+08 	
[321, ]	-1.487e+08 	
[322, ]	-1.49e+08 	
[323, ]	-1.487e+08 	
[324, ]	-1.488e+08 	
[325, ]	-1.486e+08 	
[326, ]	-1.485e+08 	
[327, ]	-1.488e+08 	
[328, ]	-1.486e+08 	
[329, ]	-1.486e+08 	
[330, ]	-1.488e+08 	
[331, ]	-1.49e+08 	
[332, ]	-1.487e+08 	
[333, ]	-1.487e+08 	
[334, ]	-1.488e+08 	
[335, ]	-1.485e+08 	
[336, ]	-1.487e+08 	
[337, ]	-1.486e+08 	
[338, ]	-1.49e+08 	
[339, ]	-1.489e+08 	
[340, ]	-1.486e+08 	
[341, ]	-1.491e+08 	
[342, ]	-1.489e+08 	
[343, ]	-1.486e+08 	
[344, ]	-1.487e+08 	
[345, ]	-1.491e+08 	
[346, ]	-1.49e+08 	
[347, ]	-1.486e+08 	
[348, ]	-1.491e+08 	
[349, ]	-1.49e+08 	
[350, ]	-1.486e+08 	
[351, ]	-1.487e+08 	
[352, ]	-1.49e+08 	
[353, ]	-1.487e+08 	
[354, ]	-1.486e+08 	
[355, ]	-1.489e+08 	
[356, ]	-1.49e+08 	
[357, ]	-1.487e+08 	
[358, ]	-1.487e+08 	
[359, ]	-1.489e+08 	
[360, ]	-1.488e+08 	
[361, ]	-1.488e+08 	
[362, ]	-1.488e+08 	
[363, ]	-1.488e+08 	
[364, ]	-1.488e+08 	
[365, ]	-1.487e+08 	
[366, ]	-1.49e+08 	
[367, ]	-1.488e+08 	
[368, ]	-1.487e+08 	
[369, ]	-1.485e+08 	
[370, ]	-1.49e+08 	
[371, ]	-1.49e+08 	
[372, ]	-1.488e+08 	
[373, ]	-1.488e+08 	
[374, ]	-1.487e+08 	
[375, ]	-1.487e+08 	
[376, ]	-1.487e+08 	
[377, ]	-1.49e+08 	
[378, ]	-1.488e+08 	
[379, ]	-1.489e+08 	
[380, ]	-1.49e+08 	
[381, ]	-1.487e+08 	
[382, ]	-1.485e+08 	
[383, ]	-1.485e+08 	
[384, ]	-1.488e+08 	
[385, ]	-1.488e+08 	
[386, ]	-1.486e+08 	
[387, ]	-1.486e+08 	
[388, ]	-1.485e+08 	
[389, ]	-1.491e+08 	
[390, ]	-1.489e+08 	
[391, ]	-1.49e+08 	
[392, ]	-1.486e+08 	
[393, ]	-1.486e+08 	
[394, ]	-1.486e+08 	
[395, ]	-1.488e+08 	
[396, ]	-1.489e+08 	
[397, ]	-1.486e+08 	
[398, ]	-1.488e+08 	
[399, ]	-1.485e+08 	
[400, ]	-1.485e+08 	
[401, ]	-1.489e+08 	
[402, ]	-1.49e+08 	
[403, ]	-1.486e+08 	
[404, ]	-1.491e+08 	
[405, ]	-1.49e+08 	
[406, ]	-1.486e+08 	
[407, ]	-1.489e+08 	
[408, ]	-1.491e+08 	
[409, ]	-1.491e+08 	
[410, ]	-1.485e+08 	
[411, ]	-1.489e+08 	
[412, ]	-1.488e+08 	
[413, ]	-1.486e+08 	
[414, ]	-1.489e+08 	
[415, ]	-1.49e+08 	
[416, ]	-1.487e+08 	
[417, ]	-1.488e+08 	
[418, ]	-1.486e+08 	
[419, ]	-1.489e+08 	
[420, ]	-1.491e+08 	
[421, ]	-1.487e+08 	
[422, ]	-1.49e+08 	
[423, ]	-1.486e+08 	
[424, ]	-1.49e+08 	
[425, ]	-1.489e+08 	
[426, ]	-1.491e+08 	
[427, ]	-1.487e+08 	
[428, ]	-1.486e+08 	
[429, ]	-1.487e+08 	
[430, ]	-1.49e+08 	
[431, ]	-1.49e+08 	
[432, ]	-1.486e+08 	
[433, ]	-1.489e+08 	
[434, ]	-1.486e+08 	
[435, ]	-1.485e+08 	
[436, ]	-1.485e+08 	
[437, ]	-1.489e+08 	
[438, ]	-1.486e+08 	
[439, ]	-1.486e+08 	
[440, ]	-1.488e+08 	
[441, ]	-1.485e+08 	
[442, ]	-1.49e+08 	
[443, ]	-1.485e+08 	
[444, ]	-1.485e+08 	
[445, ]	-1.489e+08 	
[446, ]	-1.486e+08 	
[447, ]	-1.49e+08 	
[448, ]	-1.49e+08 	
[449, ]	-1.487e+08 	
[450, ]	-1.487e+08 	
[451, ]	-1.49e+08 	
[452, ]	-1.487e+08 	
[453, ]	-1.487e+08 	
[454, ]	-1.488e+08 	
[455, ]	-1.488e+08 	
[456, ]	-1.487e+08 	
[457, ]	-1.487e+08 	
[458, ]	-1.487e+08 	
[459, ]	-1.485e+08 	
[460, ]	-1.487e+08 	
[461, ]	-1.49e+08 	
[462, ]	-1.488e+08 	
[463, ]	-1.487e+08 	
[464, ]	-1.489e+08 	
[465, ]	-1.485e+08 	
[466, ]	-1.49e+08 	
[467, ]	-1.491e+08 	
[468, ]	-1.489e+08 	
[469, ]	-1.486e+08 	
[470, ]	-1.488e+08 	
[471, ]	-1.487e+08 	
[472, ]	-1.49e+08 	
[473, ]	-1.485e+08 	
[474, ]	-1.488e+08 	
[475, ]	-1.485e+08 	
[476, ]	-1.487e+08 	
[477, ]	-1.486e+08 	
[478, ]	-1.49e+08 	
[479, ]	-1.487e+08 	
[480, ]	-1.49e+08 	
[481, ]	-1.491e+08 	
[482, ]	-1.49e+08 	
[483, ]	-1.486e+08 	
[484, ]	-1.489e+08 	
[485, ]	-1.488e+08 	
[486, ]	-1.486e+08 	
[487, ]	-1.486e+08 	
[488, ]	-1.489e+08 	
[489, ]	-1.485e+08 	
[490, ]	-1.485e+08 	
[491, ]	-1.488e+08 	
[492, ]	-1.49e+08 	
[493, ]	-1.487e+08 	
[494, ]	-1.486e+08 	
[495, ]	-1.486e+08 	
[496, ]	-1.489e+08 	
[497, ]	-1.49e+08 	
[498, ]	-1.487e+08 	
[499, ]	-1.489e+08 	
[500, ]	-1.49e+08 	
[501, ]	-1.488e+08 	
[502, ]	-1.487e+08 	
[503, ]	-1.486e+08 	
[504, ]	-1.486e+08 	
[505, ]	-1.487e+08 	
[506, ]	-1.485e+08 	
[507, ]	-1.488e+08 	
[508, ]	-1.488e+08 	
[509, ]	-1.489e+08 	
[510, ]	-1.486e+08 	
[511, ]	-1.487e+08 	
[512, ]	-1.486e+08 	
[513, ]	-1.485e+08 	
[514, ]	-1.49e+08 	
[515, ]	-1.49e+08 	
[516, ]	-1.489e+08 	
[517, ]	-1.49e+08 	
[518, ]	-1.486e+08 	
[519, ]	-1.487e+08 	
[520, ]	-1.488e+08 	
[521, ]	-1.486e+08 	
[522, ]	-1.486e+08 	
[523, ]	-1.486e+08 	
[524, ]	-1.49e+08 	
[525, ]	-1.489e+08 	
[526, ]	-1.489e+08 	
[527, ]	-1.488e+08 	
[528, ]	-1.489e+08 	
[529, ]	-1.489e+08 	
[530, ]	-1.491e+08 	
[531, ]	-1.488e+08 	
[532, ]	-1.489e+08 	
[533, ]	-1.489e+08 	
[534, ]	-1.488e+08 	
[535, ]	-1.485e+08 	
[536, ]	-1.489e+08 	
[537, ]	-1.488e+08 	
[538, ]	-1.486e+08 	
[539, ]	-1.487e+08 	
[540, ]	-1.49e+08 	
[541, ]	-1.488e+08 	
[542, ]	-1.487e+08 	
[543, ]	-1.487e+08 	
[544, ]	-1.489e+08 	
[545, ]	-1.49e+08 	
[546, ]	-1.488e+08 	
[547, ]	-1.489e+08 	
[548, ]	-1.489e+08 	
[549, ]	-1.488e+08 	
[550, ]	-1.491e+08 	
[551, ]	-1.487e+08 	
[552, ]	-1.491e+08 	
[553, ]	-1.487e+08 	
[554, ]	-1.49e+08 	
[555, ]	-1.486e+08 	
[556, ]	-1.487e+08 	
[557, ]	-1.491e+08 	
[558, ]	-1.49e+08 	
[559, ]	-1.489e+08 	
[560, ]	-1.49e+08 	
[561, ]	-1.489e+08 	
[562, ]	-1.486e+08 	
[563, ]	-1.488e+08 	
[564, ]	-1.485e+08 	
[565, ]	-1.49e+08 	
[566, ]	-1.488e+08 	
[567, ]	-1.49e+08 	
[568, ]	-1.488e+08 	
[569, ]	-1.491e+08 	
[570, ]	-1.49e+08 	
[571, ]	-1.488e+08 	
[572, ]	-1.485e+08 	
[573, ]	-1.488e+08 	
[574, ]	-1.486e+08 	
[575, ]	-1.487e+08 	
[576, ]	-1.489e+08 	
[577, ]	-1.488e+08 	
[578, ]	-1.49e+08 	
[579, ]	-1.489e+08 	
[580, ]	-1.488e+08 	
[581, ]	-1.487e+08 	
[582, ]	-1.488e+08 	
[583, ]	-1.491e+08 	
[584, ]	-1.49e+08 	
[585, ]	-1.486e+08 	
[586, ]	-1.489e+08 	
[587, ]	-1.488e+08 	
[588, ]	-1.488e+08 	
[589, ]	-1.487e+08 	
[590, ]	-1.486e+08 	
[591, ]	-1.485e+08 	
[592, ]	-1.489e+08 	
[593, ]	-1.486e+08 	
[594, ]	-1.49e+08 	
[595, ]	-1.488e+08 	
[596, ]	-1.486e+08 	
[597, ]	-1.488e+08 	
[598, ]	-1.49e+08 	
[599, ]	-1.486e+08 	
[600, ]	-1.488e+08 	
[601, ]	-1.491e+08 	
[602, ]	-1.487e+08 	
[603, ]	-1.491e+08 	
[604, ]	-1.488e+08 	
[605, ]	-1.488e+08 	
[606, ]	-1.489e+08 	
[607, ]	-1.491e+08 	
[608, ]	-1.49e+08 	
[609, ]	-1.488e+08 	
[610, ]	-1.489e+08 	
[611, ]	-1.489e+08 	
[612, ]	-1.488e+08 	
[613, ]	-1.49e+08 	
[614, ]	-1.491e+08 	
[615, ]	-1.49e+08 	
[616, ]	-1.49e+08 	
[617, ]	-1.485e+08 	
[618, ]	-1.491e+08 	
[619, ]	-1.486e+08 	
[620, ]	-1.486e+08 	
[621, ]	-1.488e+08 	
[622, ]	-1.489e+08 	
[623, ]	-1.49e+08 	
[624, ]	-1.488e+08 	
[625, ]	-1.486e+08 	
[626, ]	-1.487e+08 	
[627, ]	-1.489e+08 	
[628, ]	-1.486e+08 	
[629, ]	-1.488e+08 	
[630, ]	-1.485e+08 	
[631, ]	-1.488e+08 	
[632, ]	-1.491e+08 	
